	LTR12C	LTR13A	LTR2B	LTR2C	LTR5B	LTR5_Hs
MCM7-ENCFF165WWF.bed	602	19	24	20	63	63
MCM7-ENCFF191CDX.bed	471	41	23	26	61	59
MCM7-ENCFF232KWI.bed	545	15	27	25	62	68
MCM7-ENCFF286BGV.bed	394	25	18	27	63	69
MCM7-ENCFF298ANN.bed	570	19	20	15	59	52
MEF2A-ENCFF001UKJ.bed	1	0	0	0	2	1
MEF2A-ENCFF001UKK.bed	0	0	0	0	1	1
MGA-ENCFF189YFO.bed	395	64	42	69	106	142
MGA-ENCFF207RUE.bed	415	72	39	54	94	133
MGA-ENCFF230QTS.bed	415	59	30	44	83	117
MIER1-ENCFF438RUW.bed	379	55	33	55	94	113
MIER1-ENCFF601IZU.bed	398	52	33	63	96	126
MIER1-ENCFF648JAT.bed	381	48	38	57	93	103
MITF-ENCFF175RNO.bed	206	66	20	42	56	43
MITF-ENCFF373SQY.bed	253	43	15	41	53	28
MITF-ENCFF472YHR.bed	209	62	18	29	52	42
MLLT1-ENCFF057GKG.bed	364	47	17	36	78	73
MLLT1-ENCFF400BXE.bed	366	47	13	43	84	79
MLLT1-ENCFF743CIS.bed	364	64	31	53	87	95
MLLT1-ENCFF768MUF.bed	339	60	22	62	97	98
MLLT1-ENCFF929AWJ.bed	351	46	17	37	89	81
MLLT1-ENCFF948VWR.bed	386	64	30	63	106	97
MNT-ENCFF191KTX.bed	226	58	25	52	89	136
MNT-ENCFF215LBC.bed	174	55	32	45	74	117
MNT-ENCFF260JMM.bed	333	64	34	69	113	152
MNT-ENCFF431KXB.bed	253	65	35	70	99	157
MNT-ENCFF513RYM.bed	238	54	26	61	96	118
MNT-ENCFF595GHN.bed	372	78	33	67	108	154
MNT-ENCFF671OVE.bed	183	60	35	36	75	109
MNT-ENCFF799NMK.bed	310	73	26	52	98	128
MNT-ENCFF846YPA.bed	395	71	35	64	106	156
MTA1-ENCFF253PLF.bed	286	60	23	51	93	104
MTA1-ENCFF387NDE.bed	275	69	43	63	108	121
MTA1-ENCFF658ZHZ.bed	257	73	40	60	107	122
MTA2-ENCFF084ILX.bed	259	60	28	53	105	123
MTA2-ENCFF094YIY.bed	226	53	26	56	119	146
MTA2-ENCFF186VAU.bed	230	62	36	68	115	142
MTA2-ENCFF501DZY.bed	232	54	38	54	101	130
MTA2-ENCFF605LJE.bed	285	67	29	63	116	147
MTA2-ENCFF850ENR.bed	302	66	29	45	110	139
MXI1-ENCFF001VNV.bed	9	4	1	4	6	13
MYC-ENCFF001UTC.bed	19	7	2	7	23	38
MYC-ENCFF001VMQ.bed	1	0	0	0	0	2
MYC-ENCFF001VMR.bed	0	0	1	0	1	3
MYC-ENCFF001VMS.bed	25	21	5	13	29	47
MYC-ENCFF001VMT.bed	2	0	1	7	8	12
MYC-ENCFF001VMU.bed	53	28	8	27	39	42
MYC-ENCFF001VMV.bed	1	0	0	0	0	1
MYC-ENCFF028OCG.bed	43	21	5	17	24	31
MYC-ENCFF162CMX.bed	42	11	4	13	12	11
MYC-ENCFF199SKV.bed	73	33	14	23	45	38
MYC-ENCFF357NBU.bed	64	19	8	15	33	33
MYC-ENCFF517GFP.bed	49	19	5	8	18	26
MYC-ENCFF726YHM.bed	81	15	10	12	14	20
MYC-ENCFF761YWV.bed	90	33	14	13	37	29
MYC-ENCFF837BDB.bed	92	15	9	17	19	23
MYC-ENCFF859MQB.bed	112	38	13	26	47	43
MYC-ENCFF934ENB.bed	95	34	10	28	39	35
MYC-ENCFF951BWR.bed	78	20	7	27	22	35
MYC-ENCFF987HSI.bed	107	25	12	36	48	48
MYNN-ENCFF576WZY.bed	227	48	23	42	67	56
MYNN-ENCFF756WGZ.bed	173	45	21	32	72	50
MYNN-ENCFF954SDF.bed	286	46	18	42	59	58
NBN-ENCFF021DHZ.bed	362	48	36	51	77	112
NBN-ENCFF032UMZ.bed	307	67	35	58	106	117
NBN-ENCFF650HMR.bed	388	64	41	69	106	126
NCOA1-ENCFF428HHR.bed	294	57	37	46	100	83
NCOA1-ENCFF633IWB.bed	386	62	45	52	107	115
NCOA1-ENCFF786SHU.bed	466	57	38	46	101	119
NCOR1-ENCFF001SZT.bed	474	54	54	65	92	122
NCOR1-ENCFF053IVE.bed	393	47	31	43	91	107
NCOR1-ENCFF269ZNE.bed	399	51	26	48	98	121
NCOR1-ENCFF380AQD.bed	341	48	22	46	95	103
NCOR1-ENCFF584ZGO.bed	221	52	38	54	106	127
NCOR1-ENCFF620EUP.bed	253	51	31	54	92	113
NCOR1-ENCFF649STG.bed	373	66	42	73	119	159
NCOR1-ENCFF675VGK.bed	267	51	37	52	106	136
NCOR1-ENCFF733BAD.bed	362	55	36	76	110	143
NCOR1-ENCFF810EAC.bed	372	61	42	67	126	157
NELFE-ENCFF001VNW.bed	0	0	0	0	0	0
NFE2-ENCFF001VNX.bed	0	1	0	0	0	0
NFE2-ENCFF552ZAY.bed	138	51	21	27	51	45
NFE2-ENCFF803FZY.bed	161	37	18	32	37	44
NFE2-ENCFF813HVG.bed	146	47	16	33	47	48
NFIC-ENCFF292SNP.bed	367	56	29	58	90	117
NFIC-ENCFF351DKB.bed	368	53	23	40	88	102
NFIC-ENCFF754CMK.bed	351	52	31	48	87	108
NFRKB-ENCFF235FNK.bed	451	56	35	50	99	119
NFRKB-ENCFF338NAH.bed	426	53	25	52	73	101
NFRKB-ENCFF674FOQ.bed	399	48	32	40	81	95
NFXL1-ENCFF297LLA.bed	330	34	22	34	71	90
NFXL1-ENCFF666TVL.bed	291	47	30	35	66	85
NFXL1-ENCFF804ZDO.bed	344	31	23	32	70	77
NFYA-ENCFF001VNY.bed	519	0	0	1	0	1
NFYB-ENCFF001VNZ.bed	2087	0	0	1	1	1
NKRF-ENCFF104IYR.bed	282	55	25	39	86	110
NKRF-ENCFF370TMY.bed	297	57	29	44	88	112
NKRF-ENCFF548XDN.bed	296	46	19	38	81	97
NONO-ENCFF028TZK.bed	74	13	6	4	9	6
NONO-ENCFF324CAZ.bed	560	73	36	45	109	115
NONO-ENCFF433ZFX.bed	516	68	35	41	116	113
NONO-ENCFF609LOZ.bed	112	12	6	7	8	9
NONO-ENCFF784OAB.bed	528	53	31	36	103	102
NONO-ENCFF882WGE.bed	70	7	6	8	6	14
NR2C1-ENCFF406JPU.bed	157	69	49	55	82	102
NR2C1-ENCFF497RBU.bed	221	76	41	66	97	109
NR2C1-ENCFF735EGA.bed	214	59	47	43	68	101
NR2C2-ENCFF001VPE.bed	0	0	0	0	0	0
NR2C2-ENCFF342EJU.bed	53	2	4	3	8	12
NR2C2-ENCFF837CQV.bed	103	3	2	1	18	5
NR2C2-ENCFF841ZNM.bed	150	12	10	4	23	21
NR2F1-ENCFF035WWJ.bed	223	74	52	80	106	132
NR2F1-ENCFF224GWU.bed	225	75	59	66	99	118
NR2F1-ENCFF359OAZ.bed	225	75	62	91	98	144
NR2F2-ENCFF001UKL.bed	12	17	23	23	33	161
NR2F2-ENCFF001UKM.bed	19	26	8	18	25	149
NR2F6-ENCFF106WRW.bed	80	48	36	35	36	47
NR2F6-ENCFF134OVY.bed	73	50	40	53	59	54
NR2F6-ENCFF604XWK.bed	84	46	42	53	61	56
NRF1-ENCFF001VOA.bed	4	0	0	0	0	1
NRF1-ENCFF116JUN.bed	523	63	41	52	94	115
NRF1-ENCFF138RWJ.bed	461	59	39	52	82	100
NRF1-ENCFF263SML.bed	701	70	39	49	108	123
NRF1-ENCFF559ITE.bed	332	41	24	45	49	49
NRF1-ENCFF606MZK.bed	348	43	25	41	60	45
NRF1-ENCFF731JDO.bed	396	56	33	52	77	89
NRF1-ENCFF794VUJ.bed	586	57	46	57	94	124
NRF1-ENCFF892HJT.bed	272	39	24	48	53	48
NRF1-ENCFF978MYZ.bed	633	65	40	54	107	119
PHB2-ENCFF231LOJ.bed	252	36	28	41	81	101
PHB2-ENCFF370RBU.bed	265	49	22	33	85	95
PHB2-ENCFF508MDN.bed	269	44	27	38	89	104
PHF8-ENCFF001SZX.bed	184	31	13	26	34	26
PHF8-ENCFF192RQZ.bed	240	20	19	22	32	22
PHF8-ENCFF430CBL.bed	85	3	7	3	12	8
PHF8-ENCFF739TWP.bed	409	37	18	39	57	39
PKNOX1-ENCFF279KYF.bed	765	102	39	52	82	114
PKNOX1-ENCFF572VXK.bed	462	96	32	60	84	98
PKNOX1-ENCFF967UHQ.bed	668	100	34	54	88	119
PML-ENCFF001UKP.bed	28	4	1	5	9	14
PML-ENCFF001UKQ.bed	64	9	2	10	12	15
POLR2A-ENCFF001UKT.bed	187	20	5	15	13	21
POLR2A-ENCFF001UKU.bed	228	29	7	15	25	25
POLR2A-ENCFF001UTF.bed	529	59	12	38	59	54
POLR2A-ENCFF001VOD.bed	36	1	3	6	1	1
POLR2A-ENCFF001VOE.bed	35	3	3	7	1	2
POLR2A-ENCFF001VOF.bed	71	5	3	10	1	3
POLR2A-ENCFF001VOG.bed	45	2	3	9	2	3
POLR2A-ENCFF001VOH.bed	4	8	3	4	1	2
POLR2A-ENCFF001VOI.bed	67	4	2	7	1	3
POLR2A-ENCFF050JYN.bed	142	16	11	11	19	23
POLR2A-ENCFF070AMD.bed	187	31	10	27	39	27
POLR2A-ENCFF109VMO.bed	668	46	13	38	71	76
POLR2A-ENCFF157PBO.bed	573	43	23	41	68	73
POLR2A-ENCFF188QEA.bed	232	29	11	23	26	27
POLR2A-ENCFF195EME.bed	166	20	14	15	29	21
POLR2A-ENCFF196LRG.bed	158	26	7	25	28	27
POLR2A-ENCFF274EWP.bed	188	27	8	21	26	24
POLR2A-ENCFF278XFP.bed	247	31	8	25	31	29
POLR2A-ENCFF368DTT.bed	154	23	7	20	29	26
POLR2A-ENCFF502ZBE.bed	187	26	7	17	28	28
POLR2A-ENCFF504GWC.bed	127	21	6	20	21	17
POLR2A-ENCFF573ZMO.bed	163	17	8	14	20	24
POLR2A-ENCFF612BZJ.bed	562	45	24	50	78	98
POLR2A-ENCFF656WXD.bed	640	45	14	33	67	73
POLR2A-ENCFF670NDN.bed	649	56	19	52	89	102
POLR2A-ENCFF763UDO.bed	666	48	31	53	93	106
POLR2A-ENCFF960XPL.bed	226	36	11	27	42	27
POLR2AphosphoS2-ENCFF001VOJ.bed	100	19	8	30	26	23
POLR2AphosphoS2-ENCFF001VOK.bed	84	10	6	6	19	14
POLR2AphosphoS2-ENCFF039RTS.bed	91	25	12	30	42	28
POLR2AphosphoS2-ENCFF388ATO.bed	99	30	13	29	37	30
POLR2AphosphoS2-ENCFF932UHC.bed	87	25	14	21	38	37
POLR2AphosphoS5-ENCFF001UKR.bed	82	7	0	12	15	25
POLR2AphosphoS5-ENCFF001UKS.bed	102	23	4	16	39	35
POLR3A-ENCFF001VOO.bed	0	0	0	2	0	0
POLR3G-ENCFF001VOL.bed	0	0	0	0	0	0
PRPF4-ENCFF310EMX.bed	202	7	11	7	12	15
PRPF4-ENCFF692UVD.bed	243	8	16	8	14	15
PRPF4-ENCFF894WLR.bed	176	9	13	7	13	19
PTBP1-ENCFF479MVC.bed	260	28	15	42	48	37
PTBP1-ENCFF882YQN.bed	269	30	19	44	46	39
PTBP1-ENCFF921LEX.bed	311	31	16	40	46	41
RAD21-ENCFF001UKX.bed	3	5	1	1	1	2
RAD21-ENCFF001UKY.bed	18	9	2	1	4	4
RAD21-ENCFF001VOM.bed	0	2	0	0	2	0
RAD51-ENCFF103VVN.bed	304	121	32	50	91	105
RAD51-ENCFF124ZGQ.bed	276	105	31	42	81	94
RAD51-ENCFF457XPX.bed	373	121	33	50	85	103
RB1-ENCFF197MJO.bed	569	41	20	34	89	83
RB1-ENCFF634SVO.bed	598	69	29	49	119	124
RB1-ENCFF801LNJ.bed	656	71	29	58	118	133
RBBP5-ENCFF001TAB.bed	256	57	33	53	91	86
RBBP5-ENCFF058DJL.bed	253	54	24	38	67	56
RBBP5-ENCFF528ISK.bed	205	22	20	20	47	29
RBBP5-ENCFF617FLM.bed	230	46	28	42	72	49
RBFOX2-ENCFF309FGP.bed	821	51	19	40	54	60
RBFOX2-ENCFF470QLV.bed	717	46	19	30	48	65
RBFOX2-ENCFF590JZV.bed	867	47	20	28	54	70
RCOR1-ENCFF001VMW.bed	11	15	6	15	31	22
RCOR1-ENCFF001VMX.bed	57	38	16	29	59	55
REST-ENCFF001TAA.bed	298	18	26	25	47	66
REST-ENCFF001UKN.bed	10	7	1	4	19	20
REST-ENCFF001UKO.bed	4	2	0	0	11	15
REST-ENCFF116JZW.bed	320	70	36	61	102	106
REST-ENCFF267RGU.bed	399	61	23	29	60	67
REST-ENCFF876EHZ.bed	397	65	25	56	87	96
RFX1-ENCFF008XTO.bed	219	49	25	33	76	75
RFX1-ENCFF163OZR.bed	125	22	23	15	30	52
RFX1-ENCFF733TAS.bed	267	37	39	23	49	80
RFX1-ENCFF786DOF.bed	117	16	20	24	33	48
RFX1-ENCFF811RGP.bed	253	52	29	38	77	93
RFX1-ENCFF830YCS.bed	292	49	29	35	73	96
RFX5-ENCFF001VON.bed	13	3	0	2	2	2
RING1-ENCFF415UTU.bed	55	15	10	14	17	16
RING1-ENCFF433HPA.bed	82	14	13	16	23	26
RING1-ENCFF550KZE.bed	68	16	12	19	15	17
RNF2-ENCFF001TAC.bed	330	30	36	60	54	79
RNF2-ENCFF059LBQ.bed	223	67	43	74	131	153
RNF2-ENCFF134OWN.bed	216	68	46	71	120	145
RNF2-ENCFF232HEV.bed	213	36	31	37	67	111
RNF2-ENCFF533MTU.bed	70	24	9	19	20	8
RNF2-ENCFF558QUM.bed	125	29	10	28	40	26
RNF2-ENCFF576LFG.bed	183	45	23	34	69	54
RNF2-ENCFF696NDZ.bed	287	40	21	40	72	91
RNF2-ENCFF789DUE.bed	249	60	36	61	102	129
RNF2-ENCFF813HMN.bed	246	40	23	34	83	109
RNF2-ENCFF820ZTK.bed	145	31	18	25	53	50
RNF2-ENCFF844TQX.bed	274	49	31	37	70	51
RNF2-ENCFF905VIC.bed	98	28	10	19	42	20
RUNX1-ENCFF036XUT.bed	307	39	20	22	59	44
RUNX1-ENCFF203RIX.bed	352	33	24	22	64	51
RUNX1-ENCFF376GWL.bed	317	34	23	27	66	46
RUNX1-ENCFF436PYK.bed	504	37	26	30	76	64
RUNX1-ENCFF766PWX.bed	357	40	20	35	80	84
RUNX1-ENCFF826RWZ.bed	465	41	24	36	82	77
SAP30-ENCFF001TAF.bed	170	35	15	39	49	51
SAP30-ENCFF081GEA.bed	162	24	16	29	36	19
SAP30-ENCFF643AZY.bed	107	11	4	12	23	16
SAP30-ENCFF956WWZ.bed	146	19	11	22	38	24
SETDB1-ENCFF001TAD.bed	484	66	40	74	104	116
SETDB1-ENCFF001VOP.bed	2	1	2	11	2	1
SETDB1-ENCFF001VOQ.bed	12	0	1	4	0	2
SETDB1-ENCFF269JVH.bed	281	11	14	38	30	21
SETDB1-ENCFF445HEP.bed	520	28	23	47	37	21
SETDB1-ENCFF463JJS.bed	588	33	16	46	37	31
SIN3A-ENCFF001UKZ.bed	0	0	0	0	0	0
SIN3A-ENCFF001ULA.bed	18	1	1	2	2	5
SIN3A-ENCFF718AFD.bed	192	32	8	17	33	26
SIN3A-ENCFF791GAM.bed	161	29	19	37	39	33
SIN3A-ENCFF877VHC.bed	175	45	16	29	39	32
SIN3B-ENCFF197DMK.bed	505	59	33	36	101	93
SIN3B-ENCFF251WTS.bed	507	66	35	45	107	114
SIN3B-ENCFF901YWM.bed	394	24	19	21	74	64
SIRT6-ENCFF001TAE.bed	398	43	46	64	67	114
SIRT6-ENCFF001VOR.bed	0	4	0	0	0	2
SIX5-ENCFF001ULB.bed	0	0	0	0	0	5
SIX5-ENCFF001ULC.bed	2	0	0	0	0	3
SIX5-ENCFF001ULD.bed	0	0	0	0	0	0
SIX5-ENCFF001ULE.bed	0	0	0	0	0	0
SIX5-ENCFF066ONU.bed	50	8	3	7	13	5
SIX5-ENCFF521MOS.bed	60	12	4	9	16	8
SIX5-ENCFF738BIG.bed	67	15	2	8	15	10
SMAD2-ENCFF181NNV.bed	72	12	10	19	20	13
SMAD2-ENCFF292NAI.bed	63	12	4	11	16	9
SMAD2-ENCFF688TJX.bed	94	12	9	20	19	13
SMAD5-ENCFF131YKB.bed	395	37	18	35	57	44
SMAD5-ENCFF235FTG.bed	457	51	15	41	60	50
SMAD5-ENCFF875TQG.bed	477	42	20	39	58	49
SMARCA4-ENCFF001VME.bed	0	0	0	0	0	1
SMARCA4-ENCFF513IHI.bed	292	62	48	76	128	162
SMARCA4-ENCFF541RTC.bed	319	58	38	71	112	150
SMARCA4-ENCFF622WDZ.bed	427	57	36	65	110	143
SMARCA4-ENCFF701XIM.bed	414	56	35	73	119	163
SMARCA4-ENCFF839WLX.bed	376	59	31	57	107	136
SMARCA4-ENCFF891UIQ.bed	267	65	42	79	128	143
SMARCA5-ENCFF156CAB.bed	219	52	27	41	77	90
SMARCA5-ENCFF305RMT.bed	271	53	22	42	77	80
SMARCA5-ENCFF547QMS.bed	337	48	21	35	72	95
SMARCB1-ENCFF001VNJ.bed	0	0	0	0	0	0
SMARCE1-ENCFF118OEM.bed	390	61	39	59	103	154
SMARCE1-ENCFF216OFC.bed	295	69	40	63	116	145
SMARCE1-ENCFF704QCS.bed	348	67	39	77	118	160
SMC3-ENCFF001VOT.bed	2	3	2	2	3	0
SNRNP70-ENCFF622THV.bed	202	19	13	32	31	14
SNRNP70-ENCFF626AAZ.bed	165	20	16	30	38	22
SNRNP70-ENCFF769MWV.bed	200	19	17	19	30	23
SP1-ENCFF001ULF.bed	4	0	0	0	1	1
SP1-ENCFF001ULG.bed	170	1	0	0	2	7
SP1-ENCFF422VXS.bed	740	58	43	41	103	106
SP1-ENCFF459WKK.bed	726	50	39	36	89	88
SP1-ENCFF699WES.bed	536	50	32	31	72	63
SP2-ENCFF001ULH.bed	0	0	0	0	0	0
SP2-ENCFF001ULI.bed	1	1	0	0	0	0
SPI1-ENCFF001UKV.bed	27	34	10	19	242	232
SPI1-ENCFF001UKW.bed	4	6	3	7	131	149
SREBF1-ENCFF085MZN.bed	211	27	8	21	34	18
SREBF1-ENCFF405AOP.bed	230	18	9	15	31	26
SREBF1-ENCFF916KLD.bed	210	27	10	18	25	23
SRF-ENCFF001ULJ.bed	0	2	0	2	5	4
SRF-ENCFF001ULK.bed	0	1	0	0	1	0
SRSF1-ENCFF228HWO.bed	184	7	9	6	13	14
SRSF1-ENCFF275VNL.bed	185	8	4	10	6	12
SRSF1-ENCFF533JRR.bed	205	12	9	19	15	18
STAT1-ENCFF001VOS.bed	0	0	0	1	0	1
STAT1-ENCFF001VOU.bed	0	0	0	0	0	0
STAT1-ENCFF001VOV.bed	0	0	0	1	0	1
STAT1-ENCFF001VOW.bed	0	0	0	1	0	1
STAT1-ENCFF081YAN.bed	39	5	4	7	8	9
STAT1-ENCFF473ULH.bed	79	18	13	21	17	10
STAT1-ENCFF490WRP.bed	62	10	5	15	11	11
STAT1-ENCFF585NXD.bed	35	5	8	6	7	6
STAT1-ENCFF622FPS.bed	59	13	5	10	12	15
STAT1-ENCFF695SDJ.bed	29	3	3	10	7	5
STAT1-ENCFF763YXP.bed	62	5	3	3	6	6
STAT1-ENCFF797EKN.bed	75	17	12	12	17	7
STAT1-ENCFF873CLE.bed	33	6	2	5	8	8
STAT1-ENCFF881JMT.bed	66	14	9	9	16	13
STAT1-ENCFF947WYS.bed	25	7	2	7	5	6
STAT1-ENCFF956SIV.bed	0	0	0	1	0	1
STAT2-ENCFF001VOX.bed	0	0	0	1	0	1
STAT2-ENCFF001VOY.bed	0	0	0	0	0	2
STAT2-ENCFF054VTQ.bed	81	19	6	14	27	20
STAT2-ENCFF127UZX.bed	36	14	5	11	13	12
STAT2-ENCFF395EZO.bed	39	8	4	9	18	13
STAT2-ENCFF599VMK.bed	19	6	2	6	4	7
STAT2-ENCFF697GQV.bed	81	14	8	17	23	12
STAT2-ENCFF926XFR.bed	78	13	6	8	19	12
STAT5A-ENCFF001ULL.bed	9	9	5	10	29	44
STAT5A-ENCFF001ULM.bed	6	3	1	5	17	28
SUPT5H-ENCFF452CEM.bed	483	44	18	33	66	74
SUPT5H-ENCFF548OKF.bed	512	44	21	34	68	75
SUPT5H-ENCFF902RHR.bed	491	43	18	30	70	71
SUZ12-ENCFF001TAG.bed	352	28	35	60	55	95
SUZ12-ENCFF009PGQ.bed	81	16	8	19	20	15
SUZ12-ENCFF107SGI.bed	117	18	6	19	20	13
SUZ12-ENCFF341WWD.bed	99	16	7	12	23	11
TAF1-ENCFF001ULN.bed	29	3	2	7	3	3
TAF1-ENCFF001ULO.bed	21	4	0	3	4	3
TAF15-ENCFF151HYU.bed	467	16	5	12	14	7
TAF15-ENCFF690XXK.bed	514	16	13	15	20	19
TAF15-ENCFF789HHG.bed	312	12	14	13	11	13
TAF7-ENCFF001ULP.bed	4	0	0	0	0	0
TAF7-ENCFF001ULQ.bed	15	0	0	0	1	1
TAL1-ENCFF001VOZ.bed	27	21	14	41	61	75
TAL1-ENCFF106RGY.bed	341	58	53	69	120	166
TAL1-ENCFF435YKY.bed	298	57	49	71	125	165
TAL1-ENCFF808YAS.bed	238	50	37	62	105	130
TARDBP-ENCFF368IHM.bed	419	35	29	30	42	30
TARDBP-ENCFF452PIY.bed	295	36	23	29	66	36
TARDBP-ENCFF506ZBZ.bed	516	58	28	40	96	80
TARDBP-ENCFF612BYB.bed	484	62	35	57	101	103
TARDBP-ENCFF654INX.bed	362	56	38	51	99	90
TARDBP-ENCFF696SWI.bed	321	34	15	31	59	36
TARDBP-ENCFF700XRO.bed	426	37	30	40	33	35
TARDBP-ENCFF949DLB.bed	270	35	14	25	70	45
TARDBP-ENCFF958WJN.bed	417	35	21	30	45	34
TBL1XR1-ENCFF001VPA.bed	18	8	1	9	17	12
TBL1XR1-ENCFF001VPB.bed	21	31	11	17	43	29
TBL1XR1-ENCFF029WBH.bed	130	27	9	36	38	24
TBL1XR1-ENCFF148FBK.bed	187	23	12	25	46	22
TBL1XR1-ENCFF205BAR.bed	96	36	13	33	43	20
TBL1XR1-ENCFF570BGF.bed	134	25	10	31	35	31
TBL1XR1-ENCFF676HRI.bed	54	28	5	20	40	26
TBL1XR1-ENCFF850MTK.bed	64	38	10	31	43	22
TBP-ENCFF001VPC.bed	260	23	1	15	17	11
TCF12-ENCFF334SEU.bed	302	53	36	81	126	171
TCF12-ENCFF337ISL.bed	266	47	30	65	100	142
TCF12-ENCFF436EEZ.bed	409	48	30	45	108	130
TCF12-ENCFF627NVL.bed	482	41	30	42	96	117
TCF12-ENCFF777QKF.bed	468	38	31	43	103	129
TCF12-ENCFF870JMX.bed	307	61	43	84	135	178
TCF7-ENCFF086FEW.bed	311	49	21	33	59	56
TCF7-ENCFF127VYL.bed	260	59	20	35	48	44
TCF7-ENCFF588ZYR.bed	241	57	22	28	43	45
TCF7L2-ENCFF060XZX.bed	95	17	6	10	17	12
TCF7L2-ENCFF274DVQ.bed	117	23	11	17	23	16
TCF7L2-ENCFF975NRI.bed	129	29	6	17	25	14
TEAD4-ENCFF001ULR.bed	14	13	6	16	38	35
TEAD4-ENCFF001ULT.bed	39	28	16	28	56	52
TFDP1-ENCFF062GBH.bed	293	35	14	39	55	38
TFDP1-ENCFF285BON.bed	286	42	22	31	71	36
TFDP1-ENCFF416NKY.bed	311	37	18	30	60	50
THAP1-ENCFF001ULS.bed	3	1	0	0	0	0
THAP1-ENCFF001ULU.bed	2	1	0	1	0	0
THRAP3-ENCFF119HTJ.bed	212	31	12	16	52	65
THRAP3-ENCFF196BYO.bed	270	49	21	48	81	98
THRAP3-ENCFF613QHY.bed	190	36	18	32	52	71
TOE1-ENCFF092RVY.bed	373	101	32	45	75	100
TOE1-ENCFF419UUM.bed	276	106	32	64	87	90
TOE1-ENCFF956NGK.bed	271	109	36	62	84	99
TRIM24-ENCFF121KKJ.bed	499	61	49	81	100	132
TRIM24-ENCFF127MAS.bed	609	68	56	91	108	156
TRIM24-ENCFF261OOY.bed	538	65	39	79	106	134
TRIM24-ENCFF303OST.bed	403	46	41	67	79	100
TRIM24-ENCFF816EGL.bed	604	58	56	78	106	154
TRIM24-ENCFF856IOQ.bed	487	60	52	74	100	119
TRIM25-ENCFF079BRC.bed	255	51	30	34	89	76
TRIM25-ENCFF629PBS.bed	285	55	24	31	81	90
TRIM25-ENCFF993AXA.bed	234	47	37	27	77	78
TRIM28-ENCFF001ULV.bed	14	12	8	21	23	40
TRIM28-ENCFF001ULW.bed	2	2	1	10	6	9
TRIM28-ENCFF001VNO.bed	12	6	11	24	6	4
TRIM28-ENCFF007QAA.bed	132	26	22	37	25	21
TRIM28-ENCFF140YDA.bed	203	26	22	53	54	44
TRIM28-ENCFF401VYC.bed	246	35	29	45	38	32
TRIM28-ENCFF700BWV.bed	63	19	12	39	25	22
TRIM28-ENCFF721WZY.bed	130	25	20	59	42	35
TRIM28-ENCFF811QWR.bed	86	14	17	29	21	14
U2AF1-ENCFF473NOQ.bed	106	9	9	14	12	12
U2AF1-ENCFF658SVX.bed	94	9	13	15	15	15
U2AF1-ENCFF948OFI.bed	138	9	7	13	25	21
U2AF2-ENCFF483OPS.bed	29	2	10	4	3	4
U2AF2-ENCFF625DLL.bed	29	2	5	5	3	6
U2AF2-ENCFF822WFQ.bed	61	2	11	4	11	10
UBTF-ENCFF001VPF.bed	28	18	1	7	18	6
UBTF-ENCFF001VPG.bed	57	31	6	10	32	18
USF1-ENCFF001ULX.bed	6	63	0	7	3	19
USF1-ENCFF001ULY.bed	4	52	0	0	2	4
USF2-ENCFF001VPH.bed	2	35	0	0	2	1
WDR5-ENCFF405BIW.bed	97	13	13	16	20	12
WDR5-ENCFF675GSO.bed	123	10	13	15	22	17
WDR5-ENCFF793NUP.bed	93	14	17	13	14	24
WHSC1-ENCFF001SZU.bed	474	69	46	79	117	160
XRCC4-ENCFF001VPI.bed	0	0	0	0	0	0
YBX1-ENCFF609DTK.bed	143	19	19	13	61	56
YBX1-ENCFF669CKL.bed	251	25	25	23	60	63
YBX1-ENCFF749VLH.bed	172	21	19	12	63	61
YBX3-ENCFF214PFV.bed	223	32	27	29	75	65
YBX3-ENCFF277IZH.bed	279	31	18	23	60	62
YBX3-ENCFF898TYH.bed	234	29	20	21	70	61
YY1-ENCFF001UMB.bed	1	0	0	0	0	0
YY1-ENCFF001UMC.bed	49	14	1	8	13	23
YY1-ENCFF001UMD.bed	0	0	0	0	1	1
YY1-ENCFF001UME.bed	26	4	0	4	4	8
YY1-ENCFF001VPJ.bed	0	0	0	0	0	0
YY1-ENCFF211PND.bed	186	8	7	12	18	15
YY1-ENCFF228AYO.bed	308	13	12	14	25	24
YY1-ENCFF899XEM.bed	114	3	0	3	3	7
ZBED1-ENCFF229LJO.bed	335	39	19	41	63	44
ZBED1-ENCFF323QXY.bed	369	34	31	34	62	35
ZBED1-ENCFF524QUC.bed	336	37	21	44	64	38
ZBTB11-ENCFF416FBH.bed	216	31	19	28	42	32
ZBTB11-ENCFF429ZJG.bed	116	36	19	29	32	26
ZBTB11-ENCFF929FJI.bed	100	27	12	22	27	24
ZBTB2-ENCFF537WGM.bed	371	70	32	53	113	140
ZBTB2-ENCFF551YGS.bed	352	58	22	39	88	101
ZBTB2-ENCFF621XGF.bed	363	67	28	57	108	140
ZBTB33-ENCFF001UMF.bed	9	0	0	0	2	17
ZBTB33-ENCFF001UMG.bed	25	0	1	0	5	10
ZBTB33-ENCFF108BVL.bed	1275	93	32	52	95	110
ZBTB33-ENCFF388RWJ.bed	1180	80	35	53	91	96
ZBTB33-ENCFF778NFD.bed	1258	93	35	51	85	117
ZBTB40-ENCFF361LXO.bed	474	69	33	71	111	131
ZBTB40-ENCFF707CDO.bed	431	62	28	64	108	121
