	LTR12C	LTR13A	LTR2B	LTR2C	LTR5B	LTR5_Hs
CSDE1-ENCFF528NTT.bed	368	49	29	27	56	63
CSDE1-ENCFF669FWC.bed	258	40	28	33	70	83
CSDE1-ENCFF833BSZ.bed	263	46	21	27	69	86
CSDE1-ENCFF955FHT.bed	284	45	28	36	82	103
CTCF-ENCFF001SZB.bed	109	17	9	39	40	24
CTCF-ENCFF001UJL.bed	36	7	2	3	5	4
CTCF-ENCFF001UJM.bed	15	4	2	11	4	2
CTCF-ENCFF001UTE.bed	37	9	1	24	6	7
CTCF-ENCFF001VMZ.bed	33	8	3	28	17	6
CTCF-ENCFF001XST.bed	31	5	1	7	5	0
CTCF-ENCFF001XSU.bed	11	4	0	4	2	1
CTCF-ENCFF264LXL.bed	57	20	5	24	18	10
CTCF-ENCFF545EHA.bed	87	19	6	27	26	15
CTCF-ENCFF595QHF.bed	95	16	6	29	36	16
CTCFL-ENCFF001UJN.bed	3	1	0	0	0	0
CTCFL-ENCFF001UJO.bed	3	1	0	6	0	0
CUX1-ENCFF001VMG.bed	5	32	7	13	23	8
DDX20-ENCFF355OVA.bed	440	61	33	56	83	111
DDX20-ENCFF390GHC.bed	436	65	28	52	81	98
DDX20-ENCFF903NXY.bed	376	49	26	38	85	95
DEAF1-ENCFF433RNR.bed	105	23	18	21	34	20
DEAF1-ENCFF671XXI.bed	102	27	23	25	21	18
DEAF1-ENCFF774DGH.bed	144	21	15	32	25	32
DNMT1-ENCFF904JFG.bed	278	53	24	40	86	90
DNMT1-ENCFF940ADN.bed	265	48	28	45	84	92
DNMT1-ENCFF958LLL.bed	265	49	29	42	83	79
DPF2-ENCFF023VOJ.bed	432	70	46	79	139	182
DPF2-ENCFF577FLU.bed	468	72	47	90	128	170
DPF2-ENCFF994IZJ.bed	455	74	48	85	121	154
DROSHA-ENCFF154OXO.bed	103	9	12	7	12	20
DROSHA-ENCFF717LPP.bed	56	5	9	5	7	12
DROSHA-ENCFF854MYR.bed	63	3	8	4	13	8
E2F1-ENCFF159RHZ.bed	266	37	27	36	71	87
E2F1-ENCFF218RJK.bed	257	37	24	39	74	67
E2F1-ENCFF710KKZ.bed	302	35	28	36	67	70
E2F4-ENCFF001VMY.bed	5	0	1	1	0	0
E2F6-ENCFF001UJP.bed	25	5	0	0	2	7
E2F6-ENCFF001UJQ.bed	171	15	0	7	8	11
E2F6-ENCFF001VNA.bed	27	5	0	6	1	2
E2F7-ENCFF384FEX.bed	290	44	26	43	75	83
E2F7-ENCFF511NCS.bed	267	36	23	45	74	78
E2F7-ENCFF649PUW.bed	288	33	23	36	73	74
EGR1-ENCFF001UJR.bed	52	16	1	7	8	3
EGR1-ENCFF001UJS.bed	37	8	1	5	4	1
EGR1-ENCFF255VCC.bed	434	54	36	34	69	66
EGR1-ENCFF343JJX.bed	524	65	28	58	85	96
EGR1-ENCFF634YJK.bed	459	52	26	49	93	94
EGR1-ENCFF637AOG.bed	473	55	22	32	62	81
EGR1-ENCFF782FAJ.bed	458	49	24	33	64	68
EGR1-ENCFF920IJY.bed	496	61	35	49	84	100
ELF1-ENCFF001UJT.bed	69	2	1	3	0	2
ELF1-ENCFF001UJU.bed	52	17	3	10	6	18
ELF1-ENCFF725PEY.bed	407	51	28	51	69	97
ELF1-ENCFF813JVU.bed	401	39	23	31	57	89
ELF1-ENCFF883ZAE.bed	317	48	32	44	74	79
ELF4-ENCFF307JUJ.bed	344	47	35	42	72	92
ELF4-ENCFF625PVR.bed	407	52	33	45	74	106
ELF4-ENCFF734SUP.bed	361	46	31	44	74	99
ELK1-ENCFF001VNB.bed	5	2	0	4	1	1
