	LTR12C	LTR13A	LTR2B	LTR2C	LTR5B	LTR5_Hs
MCM7-ENCFF165WWF.bed	411	15	33	14	24	69
MCM7-ENCFF191CDX.bed	378	22	26	19	36	66
MCM7-ENCFF232KWI.bed	413	18	29	16	41	60
MCM7-ENCFF286BGV.bed	402	23	19	11	32	75
MCM7-ENCFF298ANN.bed	402	15	22	18	30	69
MEF2A-ENCFF001UKJ.bed	4	0	0	0	0	1
MEF2A-ENCFF001UKK.bed	3	0	0	0	0	1
MGA-ENCFF189YFO.bed	379	14	20	23	45	68
MGA-ENCFF207RUE.bed	405	18	25	23	41	82
MGA-ENCFF230QTS.bed	383	15	29	15	38	70
MIER1-ENCFF438RUW.bed	372	24	27	15	44	74
MIER1-ENCFF601IZU.bed	381	18	27	17	46	65
MIER1-ENCFF648JAT.bed	403	13	24	21	38	77
MITF-ENCFF175RNO.bed	376	17	26	16	32	70
MITF-ENCFF373SQY.bed	376	16	21	22	39	53
MITF-ENCFF472YHR.bed	370	23	19	12	38	79
MLLT1-ENCFF057GKG.bed	369	17	27	15	48	60
MLLT1-ENCFF400BXE.bed	362	12	30	14	44	63
MLLT1-ENCFF743CIS.bed	370	20	24	15	43	77
MLLT1-ENCFF768MUF.bed	346	20	26	16	50	74
MLLT1-ENCFF929AWJ.bed	363	18	16	19	41	69
MLLT1-ENCFF948VWR.bed	341	18	31	15	51	87
MNT-ENCFF191KTX.bed	432	17	32	13	44	73
MNT-ENCFF215LBC.bed	441	25	41	25	57	72
MNT-ENCFF260JMM.bed	441	15	33	22	52	75
MNT-ENCFF431KXB.bed	444	25	32	18	51	80
MNT-ENCFF513RYM.bed	406	23	31	20	51	76
MNT-ENCFF595GHN.bed	396	23	29	17	42	65
MNT-ENCFF671OVE.bed	405	19	32	21	39	75
MNT-ENCFF799NMK.bed	378	19	26	17	47	68
MNT-ENCFF846YPA.bed	406	22	27	19	42	73
MTA1-ENCFF253PLF.bed	371	23	31	22	43	76
MTA1-ENCFF387NDE.bed	368	17	27	18	42	57
MTA1-ENCFF658ZHZ.bed	368	15	30	19	48	71
MTA2-ENCFF084ILX.bed	336	14	34	15	45	60
MTA2-ENCFF094YIY.bed	382	19	24	19	42	62
MTA2-ENCFF186VAU.bed	383	20	23	19	46	64
MTA2-ENCFF501DZY.bed	368	14	23	17	42	87
MTA2-ENCFF605LJE.bed	349	21	22	16	44	73
MTA2-ENCFF850ENR.bed	362	17	23	12	47	79
MXI1-ENCFF001VNV.bed	29	3	3	0	8	6
MYC-ENCFF001UTC.bed	23	1	3	0	4	4
MYC-ENCFF001VMQ.bed	1	0	1	0	0	1
MYC-ENCFF001VMR.bed	3	1	2	0	0	1
MYC-ENCFF001VMS.bed	52	4	3	0	9	9
MYC-ENCFF001VMT.bed	5	2	2	0	0	3
MYC-ENCFF001VMU.bed	98	6	6	2	13	17
MYC-ENCFF001VMV.bed	2	0	2	0	0	1
MYC-ENCFF028OCG.bed	272	14	17	6	29	41
MYC-ENCFF162CMX.bed	228	12	21	5	22	46
MYC-ENCFF199SKV.bed	390	17	23	11	40	75
MYC-ENCFF357NBU.bed	369	16	23	11	27	66
MYC-ENCFF517GFP.bed	284	9	19	9	27	62
MYC-ENCFF726YHM.bed	285	9	19	6	33	49
MYC-ENCFF761YWV.bed	407	22	28	16	51	72
MYC-ENCFF837BDB.bed	362	7	13	14	36	49
MYC-ENCFF859MQB.bed	369	11	30	9	39	59
MYC-ENCFF934ENB.bed	374	16	31	18	39	68
MYC-ENCFF951BWR.bed	399	21	17	17	37	68
MYC-ENCFF987HSI.bed	353	15	30	21	40	76
MYNN-ENCFF576WZY.bed	352	20	20	10	30	80
MYNN-ENCFF756WGZ.bed	367	20	20	7	38	72
MYNN-ENCFF954SDF.bed	366	12	22	11	38	73
NBN-ENCFF021DHZ.bed	374	12	22	19	39	68
NBN-ENCFF032UMZ.bed	404	18	27	15	43	63
NBN-ENCFF650HMR.bed	384	18	31	18	45	69
NCOA1-ENCFF428HHR.bed	398	20	19	17	45	73
NCOA1-ENCFF633IWB.bed	388	21	18	17	47	75
NCOA1-ENCFF786SHU.bed	383	20	20	21	57	74
NCOR1-ENCFF001SZT.bed	531	31	77	51	83	125
NCOR1-ENCFF053IVE.bed	360	27	25	16	48	72
NCOR1-ENCFF269ZNE.bed	387	22	29	16	41	68
NCOR1-ENCFF380AQD.bed	387	21	27	16	41	72
NCOR1-ENCFF584ZGO.bed	388	20	31	13	52	66
NCOR1-ENCFF620EUP.bed	371	17	27	17	44	69
NCOR1-ENCFF649STG.bed	382	14	28	14	44	81
NCOR1-ENCFF675VGK.bed	395	15	20	17	60	74
NCOR1-ENCFF733BAD.bed	366	13	31	16	45	73
NCOR1-ENCFF810EAC.bed	391	16	19	20	45	88
NELFE-ENCFF001VNW.bed	0	0	0	0	0	0
NFE2-ENCFF001VNX.bed	0	0	0	0	0	0
NFE2-ENCFF552ZAY.bed	375	17	14	11	44	55
NFE2-ENCFF803FZY.bed	390	15	25	19	41	61
NFE2-ENCFF813HVG.bed	388	16	18	12	42	65
NFIC-ENCFF292SNP.bed	383	17	27	22	43	70
NFIC-ENCFF351DKB.bed	412	22	34	21	53	64
NFIC-ENCFF754CMK.bed	416	21	33	15	51	79
NFRKB-ENCFF235FNK.bed	397	15	27	15	48	72
NFRKB-ENCFF338NAH.bed	394	12	24	24	55	65
NFRKB-ENCFF674FOQ.bed	395	19	24	11	45	88
NFXL1-ENCFF297LLA.bed	387	12	20	20	42	77
NFXL1-ENCFF666TVL.bed	384	12	29	14	48	81
NFXL1-ENCFF804ZDO.bed	410	17	18	21	45	69
NFYA-ENCFF001VNY.bed	11	0	1	0	2	1
NFYB-ENCFF001VNZ.bed	30	2	1	0	6	8
NKRF-ENCFF104IYR.bed	384	17	34	19	44	73
NKRF-ENCFF370TMY.bed	383	22	30	25	43	66
NKRF-ENCFF548XDN.bed	365	19	15	15	41	76
NONO-ENCFF028TZK.bed	360	19	21	14	39	78
NONO-ENCFF324CAZ.bed	384	17	26	10	40	72
NONO-ENCFF433ZFX.bed	349	17	23	20	40	69
NONO-ENCFF609LOZ.bed	361	27	25	13	38	64
NONO-ENCFF784OAB.bed	399	13	19	14	46	81
NONO-ENCFF882WGE.bed	389	16	25	17	39	63
NR2C1-ENCFF406JPU.bed	373	22	36	25	42	73
NR2C1-ENCFF497RBU.bed	370	19	26	24	50	73
NR2C1-ENCFF735EGA.bed	388	19	34	20	51	69
NR2C2-ENCFF001VPE.bed	0	0	0	0	0	0
NR2C2-ENCFF342EJU.bed	197	5	9	10	23	34
NR2C2-ENCFF837CQV.bed	238	12	15	8	32	39
NR2C2-ENCFF841ZNM.bed	413	15	30	12	50	66
NR2F1-ENCFF035WWJ.bed	379	21	29	17	45	66
NR2F1-ENCFF224GWU.bed	365	19	20	12	57	69
NR2F1-ENCFF359OAZ.bed	367	19	30	15	50	74
NR2F2-ENCFF001UKL.bed	35	3	4	0	10	4
NR2F2-ENCFF001UKM.bed	42	4	5	0	8	5
NR2F6-ENCFF106WRW.bed	380	20	17	18	46	62
NR2F6-ENCFF134OVY.bed	373	22	22	21	50	72
NR2F6-ENCFF604XWK.bed	381	22	15	24	40	65
NRF1-ENCFF001VOA.bed	13	2	1	1	1	2
NRF1-ENCFF116JUN.bed	397	21	25	18	46	77
NRF1-ENCFF138RWJ.bed	407	14	33	16	41	67
NRF1-ENCFF263SML.bed	399	20	30	14	52	67
NRF1-ENCFF559ITE.bed	401	23	23	19	49	68
NRF1-ENCFF606MZK.bed	416	23	23	15	49	66
NRF1-ENCFF731JDO.bed	408	21	23	22	45	78
NRF1-ENCFF794VUJ.bed	440	15	28	16	53	81
NRF1-ENCFF892HJT.bed	423	17	24	18	41	70
NRF1-ENCFF978MYZ.bed	405	13	32	16	46	78
PHB2-ENCFF231LOJ.bed	394	15	29	19	43	69
PHB2-ENCFF370RBU.bed	379	23	23	23	48	67
PHB2-ENCFF508MDN.bed	408	15	21	18	48	63
PHF8-ENCFF001SZX.bed	113	7	16	6	17	28
PHF8-ENCFF192RQZ.bed	421	17	22	24	60	83
PHF8-ENCFF430CBL.bed	405	24	19	16	44	76
PHF8-ENCFF739TWP.bed	421	20	28	15	60	92
PKNOX1-ENCFF279KYF.bed	396	16	23	14	51	78
PKNOX1-ENCFF572VXK.bed	401	19	22	11	40	77
PKNOX1-ENCFF967UHQ.bed	397	15	26	17	57	77
PML-ENCFF001UKP.bed	18	3	3	0	4	3
PML-ENCFF001UKQ.bed	34	3	3	0	6	7
POLR2A-ENCFF001UKT.bed	63	3	5	2	8	18
POLR2A-ENCFF001UKU.bed	78	5	7	1	8	19
POLR2A-ENCFF001UTF.bed	142	10	7	4	22	30
POLR2A-ENCFF001VOD.bed	14	2	1	0	3	7
POLR2A-ENCFF001VOE.bed	14	2	1	0	4	8
POLR2A-ENCFF001VOF.bed	25	3	1	0	4	8
POLR2A-ENCFF001VOG.bed	20	2	2	0	4	9
POLR2A-ENCFF001VOH.bed	11	1	2	0	4	3
POLR2A-ENCFF001VOI.bed	24	2	2	0	4	7
POLR2A-ENCFF050JYN.bed	259	11	15	6	33	49
POLR2A-ENCFF070AMD.bed	291	11	16	13	30	54
POLR2A-ENCFF109VMO.bed	333	20	21	20	37	66
POLR2A-ENCFF157PBO.bed	330	16	13	17	40	76
POLR2A-ENCFF188QEA.bed	333	11	15	14	29	62
POLR2A-ENCFF195EME.bed	343	13	20	19	38	70
POLR2A-ENCFF196LRG.bed	319	16	22	19	34	59
POLR2A-ENCFF274EWP.bed	356	17	17	18	39	68
POLR2A-ENCFF278XFP.bed	334	12	18	18	38	57
POLR2A-ENCFF368DTT.bed	309	19	16	20	28	51
POLR2A-ENCFF502ZBE.bed	345	22	25	22	35	60
POLR2A-ENCFF504GWC.bed	200	12	15	9	18	38
POLR2A-ENCFF573ZMO.bed	292	17	18	15	23	52
POLR2A-ENCFF612BZJ.bed	392	22	23	24	52	82
POLR2A-ENCFF656WXD.bed	341	21	19	19	38	71
POLR2A-ENCFF670NDN.bed	381	14	15	19	43	80
POLR2A-ENCFF763UDO.bed	382	17	17	23	45	82
POLR2A-ENCFF960XPL.bed	336	14	23	16	33	65
POLR2AphosphoS2-ENCFF001VOJ.bed	165	8	11	6	18	41
POLR2AphosphoS2-ENCFF001VOK.bed	90	5	3	0	5	14
POLR2AphosphoS2-ENCFF039RTS.bed	319	21	18	20	40	70
POLR2AphosphoS2-ENCFF388ATO.bed	322	19	20	19	36	67
POLR2AphosphoS2-ENCFF932UHC.bed	330	18	20	20	38	72
POLR2AphosphoS5-ENCFF001UKR.bed	47	3	3	0	6	10
POLR2AphosphoS5-ENCFF001UKS.bed	68	3	5	1	8	14
POLR3A-ENCFF001VOO.bed	0	0	0	0	0	0
POLR3G-ENCFF001VOL.bed	0	0	0	0	0	0
PRPF4-ENCFF310EMX.bed	381	27	28	21	56	72
PRPF4-ENCFF692UVD.bed	400	20	26	19	60	71
PRPF4-ENCFF894WLR.bed	394	20	29	22	44	79
PTBP1-ENCFF479MVC.bed	374	17	22	18	42	66
PTBP1-ENCFF882YQN.bed	387	17	26	17	48	69
PTBP1-ENCFF921LEX.bed	415	18	27	19	54	76
RAD21-ENCFF001UKX.bed	47	2	7	1	4	11
RAD21-ENCFF001UKY.bed	56	2	7	3	6	13
RAD21-ENCFF001VOM.bed	25	1	4	0	3	1
RAD51-ENCFF103VVN.bed	410	15	22	21	46	78
RAD51-ENCFF124ZGQ.bed	404	19	22	20	50	67
RAD51-ENCFF457XPX.bed	376	13	20	14	48	82
RB1-ENCFF197MJO.bed	369	21	21	11	36	71
RB1-ENCFF634SVO.bed	372	12	18	9	38	71
RB1-ENCFF801LNJ.bed	363	20	24	9	38	67
RBBP5-ENCFF001TAB.bed	427	17	49	32	54	89
RBBP5-ENCFF058DJL.bed	403	18	29	21	44	82
RBBP5-ENCFF528ISK.bed	390	12	20	13	46	70
RBBP5-ENCFF617FLM.bed	390	18	32	16	48	81
RBFOX2-ENCFF309FGP.bed	335	21	25	14	42	68
RBFOX2-ENCFF470QLV.bed	318	18	30	22	43	71
RBFOX2-ENCFF590JZV.bed	323	20	29	20	37	68
RCOR1-ENCFF001VMW.bed	82	4	2	1	9	13
RCOR1-ENCFF001VMX.bed	161	9	10	3	20	28
REST-ENCFF001TAA.bed	335	27	42	26	52	81
REST-ENCFF001UKN.bed	31	4	3	1	8	3
REST-ENCFF001UKO.bed	9	2	1	0	4	2
REST-ENCFF116JZW.bed	414	18	24	18	49	64
REST-ENCFF267RGU.bed	424	26	29	18	49	85
REST-ENCFF876EHZ.bed	409	25	21	19	50	67
RFX1-ENCFF008XTO.bed	433	15	16	21	49	68
RFX1-ENCFF163OZR.bed	408	22	26	31	40	65
RFX1-ENCFF733TAS.bed	417	18	16	21	45	63
RFX1-ENCFF786DOF.bed	395	16	32	30	36	69
RFX1-ENCFF811RGP.bed	433	16	17	18	43	82
RFX1-ENCFF830YCS.bed	412	15	24	14	51	93
RFX5-ENCFF001VON.bed	46	4	4	0	7	9
RING1-ENCFF415UTU.bed	402	16	23	22	35	66
RING1-ENCFF433HPA.bed	411	15	29	9	47	84
RING1-ENCFF550KZE.bed	408	19	32	13	39	76
RNF2-ENCFF001TAC.bed	355	22	56	33	52	89
RNF2-ENCFF059LBQ.bed	399	21	27	18	48	70
RNF2-ENCFF134OWN.bed	366	19	31	18	47	62
RNF2-ENCFF232HEV.bed	342	16	22	22	39	75
RNF2-ENCFF533MTU.bed	368	20	20	12	38	73
RNF2-ENCFF558QUM.bed	367	18	20	14	53	74
RNF2-ENCFF576LFG.bed	371	14	22	10	39	62
RNF2-ENCFF696NDZ.bed	411	19	28	18	34	64
RNF2-ENCFF789DUE.bed	372	17	28	21	43	63
RNF2-ENCFF813HMN.bed	378	11	30	16	36	72
RNF2-ENCFF820ZTK.bed	404	17	23	21	33	68
RNF2-ENCFF844TQX.bed	378	12	19	11	39	72
RNF2-ENCFF905VIC.bed	370	16	20	14	36	60
RUNX1-ENCFF036XUT.bed	360	20	28	10	40	69
RUNX1-ENCFF203RIX.bed	364	21	28	10	35	69
RUNX1-ENCFF376GWL.bed	333	21	25	16	31	67
RUNX1-ENCFF436PYK.bed	373	11	20	21	36	70
RUNX1-ENCFF766PWX.bed	400	21	22	15	56	76
RUNX1-ENCFF826RWZ.bed	413	20	22	17	48	69
SAP30-ENCFF001TAF.bed	418	24	29	23	59	81
SAP30-ENCFF081GEA.bed	401	20	19	18	40	71
SAP30-ENCFF643AZY.bed	370	17	20	7	47	62
SAP30-ENCFF956WWZ.bed	396	22	19	18	44	79
SETDB1-ENCFF001TAD.bed	728	47	95	59	108	159
SETDB1-ENCFF001VOP.bed	5	0	0	1	0	0
SETDB1-ENCFF001VOQ.bed	0	1	0	0	1	1
SETDB1-ENCFF269JVH.bed	280	12	25	7	27	53
SETDB1-ENCFF445HEP.bed	391	18	28	13	43	87
SETDB1-ENCFF463JJS.bed	401	23	23	13	40	80
SIN3A-ENCFF001UKZ.bed	5	0	0	0	1	1
SIN3A-ENCFF001ULA.bed	14	2	3	0	4	2
SIN3A-ENCFF718AFD.bed	404	16	28	10	47	69
SIN3A-ENCFF791GAM.bed	429	16	27	19	43	71
SIN3A-ENCFF877VHC.bed	407	18	29	23	38	80
SIN3B-ENCFF197DMK.bed	421	13	27	18	49	76
SIN3B-ENCFF251WTS.bed	396	18	37	19	37	75
SIN3B-ENCFF901YWM.bed	411	13	22	13	47	75
SIRT6-ENCFF001TAE.bed	500	25	65	47	61	117
SIRT6-ENCFF001VOR.bed	2	0	0	0	0	0
SIX5-ENCFF001ULB.bed	15	1	2	0	3	2
SIX5-ENCFF001ULC.bed	16	1	2	0	4	3
SIX5-ENCFF001ULD.bed	1	0	0	0	1	0
SIX5-ENCFF001ULE.bed	6	0	1	0	1	1
SIX5-ENCFF066ONU.bed	178	11	10	2	19	37
SIX5-ENCFF521MOS.bed	382	10	23	10	40	72
SIX5-ENCFF738BIG.bed	360	13	15	12	47	58
SMAD2-ENCFF181NNV.bed	406	25	21	13	36	70
SMAD2-ENCFF292NAI.bed	387	18	14	10	41	65
SMAD2-ENCFF688TJX.bed	382	19	19	12	38	66
SMAD5-ENCFF131YKB.bed	404	21	27	16	43	68
SMAD5-ENCFF235FTG.bed	359	17	28	18	43	57
SMAD5-ENCFF875TQG.bed	391	13	17	9	34	75
SMARCA4-ENCFF001VME.bed	1	0	0	0	0	0
SMARCA4-ENCFF513IHI.bed	392	17	25	15	39	69
SMARCA4-ENCFF541RTC.bed	374	16	21	9	40	66
SMARCA4-ENCFF622WDZ.bed	362	18	25	20	50	71
SMARCA4-ENCFF701XIM.bed	378	21	30	14	43	72
SMARCA4-ENCFF839WLX.bed	351	13	25	17	43	58
SMARCA4-ENCFF891UIQ.bed	383	22	28	13	55	60
SMARCA5-ENCFF156CAB.bed	393	20	24	15	45	67
SMARCA5-ENCFF305RMT.bed	375	15	27	15	45	61
SMARCA5-ENCFF547QMS.bed	359	20	28	15	38	62
SMARCB1-ENCFF001VNJ.bed	0	0	0	0	0	0
SMARCE1-ENCFF118OEM.bed	359	23	26	17	41	72
SMARCE1-ENCFF216OFC.bed	363	17	20	13	47	59
SMARCE1-ENCFF704QCS.bed	358	18	18	14	47	73
SMC3-ENCFF001VOT.bed	63	3	8	2	5	12
SNRNP70-ENCFF622THV.bed	415	18	32	20	40	75
SNRNP70-ENCFF626AAZ.bed	443	15	30	15	33	74
SNRNP70-ENCFF769MWV.bed	425	20	22	15	45	91
SP1-ENCFF001ULF.bed	2	0	2	0	1	0
SP1-ENCFF001ULG.bed	11	0	3	0	1	1
SP1-ENCFF422VXS.bed	411	25	30	14	42	65
SP1-ENCFF459WKK.bed	430	27	28	21	40	82
SP1-ENCFF699WES.bed	417	19	27	21	34	79
SP2-ENCFF001ULH.bed	2	0	1	0	1	1
SP2-ENCFF001ULI.bed	4	0	1	0	1	1
SPI1-ENCFF001UKV.bed	60	2	5	1	10	9
SPI1-ENCFF001UKW.bed	37	1	1	0	7	2
SREBF1-ENCFF085MZN.bed	385	11	29	10	48	70
SREBF1-ENCFF405AOP.bed	387	16	30	14	40	68
SREBF1-ENCFF916KLD.bed	411	10	26	9	48	64
SRF-ENCFF001ULJ.bed	8	0	2	0	1	1
SRF-ENCFF001ULK.bed	4	0	1	0	0	1
SRSF1-ENCFF228HWO.bed	417	22	33	19	47	61
SRSF1-ENCFF275VNL.bed	395	24	26	19	42	74
SRSF1-ENCFF533JRR.bed	429	32	24	21	32	84
STAT1-ENCFF001VOS.bed	0	0	0	0	0	0
STAT1-ENCFF001VOU.bed	1	0	0	0	0	0
STAT1-ENCFF001VOV.bed	1	0	0	1	0	0
STAT1-ENCFF001VOW.bed	0	0	0	0	0	0
STAT1-ENCFF081YAN.bed	217	4	10	4	22	27
STAT1-ENCFF473ULH.bed	386	17	20	10	49	80
STAT1-ENCFF490WRP.bed	278	17	11	8	27	45
STAT1-ENCFF585NXD.bed	296	12	15	6	29	57
STAT1-ENCFF622FPS.bed	417	23	20	14	40	69
STAT1-ENCFF695SDJ.bed	235	9	10	6	19	51
STAT1-ENCFF763YXP.bed	216	7	7	5	27	34
STAT1-ENCFF797EKN.bed	287	14	21	5	34	70
STAT1-ENCFF873CLE.bed	270	18	7	13	21	54
STAT1-ENCFF881JMT.bed	422	16	22	11	35	69
STAT1-ENCFF947WYS.bed	186	6	9	7	19	17
STAT1-ENCFF956SIV.bed	6	0	0	0	1	1
STAT2-ENCFF001VOX.bed	0	0	0	0	0	0
STAT2-ENCFF001VOY.bed	1	0	0	0	0	0
STAT2-ENCFF054VTQ.bed	399	22	20	20	45	74
STAT2-ENCFF127UZX.bed	257	13	16	10	31	43
STAT2-ENCFF395EZO.bed	181	12	17	8	22	33
STAT2-ENCFF599VMK.bed	141	10	12	3	16	31
STAT2-ENCFF697GQV.bed	402	28	29	14	41	89
STAT2-ENCFF926XFR.bed	281	13	21	15	32	40
STAT5A-ENCFF001ULL.bed	23	2	3	0	2	3
STAT5A-ENCFF001ULM.bed	8	0	0	0	2	3
SUPT5H-ENCFF452CEM.bed	333	16	22	18	36	68
SUPT5H-ENCFF548OKF.bed	334	21	20	19	43	73
SUPT5H-ENCFF902RHR.bed	319	17	25	19	36	69
SUZ12-ENCFF001TAG.bed	446	26	56	43	62	108
SUZ12-ENCFF009PGQ.bed	396	12	35	18	31	70
SUZ12-ENCFF107SGI.bed	375	23	21	10	38	67
SUZ12-ENCFF341WWD.bed	378	11	30	18	31	65
TAF1-ENCFF001ULN.bed	17	2	3	1	5	2
TAF1-ENCFF001ULO.bed	19	2	3	0	4	2
TAF15-ENCFF151HYU.bed	414	20	30	18	44	77
TAF15-ENCFF690XXK.bed	409	24	27	16	38	82
TAF15-ENCFF789HHG.bed	407	20	24	18	49	80
TAF7-ENCFF001ULP.bed	0	0	1	0	1	1
TAF7-ENCFF001ULQ.bed	2	0	1	0	1	0
TAL1-ENCFF001VOZ.bed	72	2	3	0	8	12
TAL1-ENCFF106RGY.bed	384	18	30	17	43	72
TAL1-ENCFF435YKY.bed	379	21	23	12	51	64
TAL1-ENCFF808YAS.bed	371	22	23	22	50	67
TARDBP-ENCFF368IHM.bed	390	14	34	15	45	77
TARDBP-ENCFF452PIY.bed	405	22	21	8	40	58
TARDBP-ENCFF506ZBZ.bed	408	20	26	18	49	78
TARDBP-ENCFF612BYB.bed	415	25	25	16	39	71
TARDBP-ENCFF654INX.bed	403	22	23	13	48	58
TARDBP-ENCFF696SWI.bed	402	16	21	16	44	74
TARDBP-ENCFF700XRO.bed	388	13	35	17	46	77
TARDBP-ENCFF949DLB.bed	373	18	20	15	43	68
TARDBP-ENCFF958WJN.bed	373	16	28	19	42	85
TBL1XR1-ENCFF001VPA.bed	57	3	4	1	5	9
TBL1XR1-ENCFF001VPB.bed	82	4	4	2	11	17
TBL1XR1-ENCFF029WBH.bed	383	17	26	9	37	57
TBL1XR1-ENCFF148FBK.bed	398	14	24	11	41	64
TBL1XR1-ENCFF205BAR.bed	382	18	24	19	46	65
TBL1XR1-ENCFF570BGF.bed	417	16	29	11	40	56
TBL1XR1-ENCFF676HRI.bed	393	11	22	17	39	65
TBL1XR1-ENCFF850MTK.bed	368	18	24	15	37	74
TBP-ENCFF001VPC.bed	53	4	4	1	8	9
TCF12-ENCFF334SEU.bed	424	20	27	24	48	64
TCF12-ENCFF337ISL.bed	394	19	22	26	51	68
TCF12-ENCFF436EEZ.bed	382	14	26	14	50	70
TCF12-ENCFF627NVL.bed	407	17	23	25	51	84
TCF12-ENCFF777QKF.bed	415	19	23	21	41	71
TCF12-ENCFF870JMX.bed	401	19	26	22	41	71
TCF7-ENCFF086FEW.bed	394	15	22	16	45	55
TCF7-ENCFF127VYL.bed	377	18	18	8	38	65
TCF7-ENCFF588ZYR.bed	365	19	23	14	34	73
TCF7L2-ENCFF060XZX.bed	383	12	25	12	42	56
TCF7L2-ENCFF274DVQ.bed	357	22	18	11	37	70
TCF7L2-ENCFF975NRI.bed	377	18	21	16	39	76
TEAD4-ENCFF001ULR.bed	37	3	3	0	8	6
TEAD4-ENCFF001ULT.bed	78	5	4	0	14	20
TFDP1-ENCFF062GBH.bed	376	16	24	9	49	66
TFDP1-ENCFF285BON.bed	367	17	28	10	46	64
TFDP1-ENCFF416NKY.bed	378	17	35	9	44	62
THAP1-ENCFF001ULS.bed	6	0	1	1	0	0
THAP1-ENCFF001ULU.bed	5	0	0	0	2	0
THRAP3-ENCFF119HTJ.bed	390	22	31	23	47	65
THRAP3-ENCFF196BYO.bed	394	13	24	19	37	66
THRAP3-ENCFF613QHY.bed	359	18	31	17	45	73
TOE1-ENCFF092RVY.bed	374	19	26	20	43	61
TOE1-ENCFF419UUM.bed	363	23	31	21	38	75
TOE1-ENCFF956NGK.bed	370	24	28	16	46	70
TRIM24-ENCFF121KKJ.bed	360	24	29	14	44	67
TRIM24-ENCFF127MAS.bed	361	16	29	20	51	68
TRIM24-ENCFF261OOY.bed	386	22	33	15	48	67
TRIM24-ENCFF303OST.bed	359	23	29	13	50	75
TRIM24-ENCFF816EGL.bed	379	18	23	16	44	62
TRIM24-ENCFF856IOQ.bed	367	17	22	19	55	72
TRIM25-ENCFF079BRC.bed	376	21	26	18	49	61
TRIM25-ENCFF629PBS.bed	396	15	27	17	44	57
TRIM25-ENCFF993AXA.bed	372	23	17	14	44	60
TRIM28-ENCFF001ULV.bed	30	3	2	0	5	6
TRIM28-ENCFF001ULW.bed	11	0	0	0	0	1
TRIM28-ENCFF001VNO.bed	39	2	1	3	4	2
TRIM28-ENCFF007QAA.bed	384	25	27	21	53	75
TRIM28-ENCFF140YDA.bed	359	13	26	8	42	73
TRIM28-ENCFF401VYC.bed	392	27	30	24	53	78
TRIM28-ENCFF700BWV.bed	350	20	20	9	39	55
TRIM28-ENCFF721WZY.bed	373	17	23	15	38	60
TRIM28-ENCFF811QWR.bed	379	28	20	25	55	72
U2AF1-ENCFF473NOQ.bed	446	24	28	15	44	67
U2AF1-ENCFF658SVX.bed	417	20	27	14	41	57
U2AF1-ENCFF948OFI.bed	401	23	19	20	36	75
U2AF2-ENCFF483OPS.bed	387	23	32	19	51	72
U2AF2-ENCFF625DLL.bed	389	20	28	19	48	76
U2AF2-ENCFF822WFQ.bed	384	21	22	10	46	65
UBTF-ENCFF001VPF.bed	42	2	2	1	9	12
UBTF-ENCFF001VPG.bed	67	3	4	2	10	13
USF1-ENCFF001ULX.bed	33	3	2	0	5	3
USF1-ENCFF001ULY.bed	19	0	2	0	2	3
USF2-ENCFF001VPH.bed	13	0	1	1	3	3
WDR5-ENCFF405BIW.bed	450	17	24	18	49	89
WDR5-ENCFF675GSO.bed	420	17	26	18	51	97
WDR5-ENCFF793NUP.bed	473	12	27	14	53	78
WHSC1-ENCFF001SZU.bed	627	41	84	67	89	126
XRCC4-ENCFF001VPI.bed	0	0	0	0	0	0
YBX1-ENCFF609DTK.bed	382	12	28	16	42	77
YBX1-ENCFF669CKL.bed	377	12	26	19	33	75
YBX1-ENCFF749VLH.bed	392	16	33	24	31	69
YBX3-ENCFF214PFV.bed	382	24	27	20	40	74
YBX3-ENCFF277IZH.bed	394	17	26	18	45	83
YBX3-ENCFF898TYH.bed	376	20	27	13	52	77
YY1-ENCFF001UMB.bed	5	1	0	0	0	2
YY1-ENCFF001UMC.bed	50	3	4	1	7	7
YY1-ENCFF001UMD.bed	10	1	1	0	3	3
YY1-ENCFF001UME.bed	35	1	5	0	6	5
YY1-ENCFF001VPJ.bed	6	1	1	0	0	1
YY1-ENCFF211PND.bed	299	11	20	4	31	36
YY1-ENCFF228AYO.bed	379	11	28	8	40	59
YY1-ENCFF899XEM.bed	171	3	5	3	17	22
ZBED1-ENCFF229LJO.bed	378	14	26	13	40	68
ZBED1-ENCFF323QXY.bed	371	14	32	14	43	65
ZBED1-ENCFF524QUC.bed	375	10	23	13	38	67
ZBTB11-ENCFF416FBH.bed	393	24	25	17	51	72
ZBTB11-ENCFF429ZJG.bed	422	22	27	17	45	72
ZBTB11-ENCFF929FJI.bed	449	23	32	15	49	65
ZBTB2-ENCFF537WGM.bed	380	18	37	17	47	68
ZBTB2-ENCFF551YGS.bed	403	24	27	17	37	62
ZBTB2-ENCFF621XGF.bed	391	17	28	21	41	67
ZBTB33-ENCFF001UMF.bed	15	1	2	1	2	0
ZBTB33-ENCFF001UMG.bed	18	1	1	0	1	1
ZBTB33-ENCFF108BVL.bed	344	19	24	21	43	66
ZBTB33-ENCFF388RWJ.bed	353	15	24	15	44	68
ZBTB33-ENCFF778NFD.bed	356	15	20	25	35	74
ZBTB40-ENCFF361LXO.bed	354	17	27	14	46	61
ZBTB40-ENCFF707CDO.bed	352	14	24	12	46	64
