	LTR12C	LTR13A	LTR2B	LTR2C	LTR5B	LTR5_Hs
CSDE1-ENCFF528NTT.bed	420	23	27	23	37	67
CSDE1-ENCFF669FWC.bed	388	25	25	20	50	65
CSDE1-ENCFF833BSZ.bed	412	18	29	20	54	76
CSDE1-ENCFF955FHT.bed	369	21	25	22	49	65
CTCF-ENCFF001SZB.bed	176	11	16	7	27	41
CTCF-ENCFF001UJL.bed	69	2	7	5	5	16
CTCF-ENCFF001UJM.bed	62	2	6	2	4	13
CTCF-ENCFF001UTE.bed	105	5	7	5	7	22
CTCF-ENCFF001VMZ.bed	122	6	10	6	12	30
CTCF-ENCFF001XST.bed	79	4	9	3	4	17
CTCF-ENCFF001XSU.bed	59	6	4	2	5	13
CTCF-ENCFF264LXL.bed	268	10	14	9	27	55
CTCF-ENCFF545EHA.bed	375	17	20	16	29	80
CTCF-ENCFF595QHF.bed	370	16	28	14	36	78
CTCFL-ENCFF001UJN.bed	11	0	1	0	0	2
CTCFL-ENCFF001UJO.bed	18	0	1	0	0	8
CUX1-ENCFF001VMG.bed	67	2	2	0	11	9
DDX20-ENCFF355OVA.bed	380	19	29	21	50	64
DDX20-ENCFF390GHC.bed	359	15	20	17	59	58
DDX20-ENCFF903NXY.bed	358	13	23	18	37	59
DEAF1-ENCFF433RNR.bed	445	20	21	18	39	66
DEAF1-ENCFF671XXI.bed	424	20	32	20	42	84
DEAF1-ENCFF774DGH.bed	412	19	33	18	53	75
DNMT1-ENCFF904JFG.bed	361	13	17	16	37	61
DNMT1-ENCFF940ADN.bed	371	20	16	14	55	61
DNMT1-ENCFF958LLL.bed	376	15	19	22	55	72
DPF2-ENCFF023VOJ.bed	370	17	25	19	46	68
DPF2-ENCFF577FLU.bed	363	17	28	18	48	68
DPF2-ENCFF994IZJ.bed	365	24	29	17	47	69
DROSHA-ENCFF154OXO.bed	387	18	13	16	45	80
DROSHA-ENCFF717LPP.bed	422	29	21	19	47	78
DROSHA-ENCFF854MYR.bed	411	18	26	16	61	81
E2F1-ENCFF159RHZ.bed	438	17	25	20	52	69
E2F1-ENCFF218RJK.bed	444	14	22	22	48	68
E2F1-ENCFF710KKZ.bed	400	18	29	16	50	72
E2F4-ENCFF001VMY.bed	8	1	2	0	2	3
E2F6-ENCFF001UJP.bed	13	1	2	1	1	1
E2F6-ENCFF001UJQ.bed	44	3	3	2	4	7
E2F6-ENCFF001VNA.bed	15	2	2	1	2	2
E2F7-ENCFF384FEX.bed	432	19	25	16	43	50
E2F7-ENCFF511NCS.bed	411	20	24	18	41	66
E2F7-ENCFF649PUW.bed	403	16	25	17	27	83
EGR1-ENCFF001UJR.bed	53	2	4	0	8	7
EGR1-ENCFF001UJS.bed	35	2	4	0	6	5
EGR1-ENCFF255VCC.bed	423	17	24	15	43	74
EGR1-ENCFF343JJX.bed	420	21	31	21	51	76
EGR1-ENCFF634YJK.bed	425	21	38	15	48	78
EGR1-ENCFF637AOG.bed	395	21	29	20	50	72
EGR1-ENCFF782FAJ.bed	364	18	26	15	45	69
EGR1-ENCFF920IJY.bed	419	12	19	15	51	75
ELF1-ENCFF001UJT.bed	25	2	4	1	4	4
ELF1-ENCFF001UJU.bed	41	1	3	1	8	6
ELF1-ENCFF725PEY.bed	395	18	26	18	44	71
ELF1-ENCFF813JVU.bed	390	22	25	17	45	82
ELF1-ENCFF883ZAE.bed	415	15	26	23	44	67
ELF4-ENCFF307JUJ.bed	393	20	24	24	46	72
ELF4-ENCFF625PVR.bed	404	19	25	24	46	72
ELF4-ENCFF734SUP.bed	411	22	26	16	49	86
ELK1-ENCFF001VNB.bed	20	1	4	1	4	3
EP300-ENCFF001SZV.bed	931	64	110	89	133	202
EP300-ENCFF001VOB.bed	18	0	1	0	4	3
EP300-ENCFF001VOC.bed	106	6	4	2	15	18
ESRRA-ENCFF122FWH.bed	378	18	29	17	37	70
ESRRA-ENCFF240NFK.bed	386	19	28	16	48	76
ESRRA-ENCFF313UKE.bed	384	14	21	10	39	69
ETS1-ENCFF001UJV.bed	14	1	2	0	3	3
ETS1-ENCFF001UJW.bed	16	1	3	0	5	3
ETV6-ENCFF235BMG.bed	422	18	24	11	44	84
ETV6-ENCFF315GZR.bed	373	12	16	10	30	58
ETV6-ENCFF539MNA.bed	417	19	29	13	40	76
ETV6-ENCFF558BWS.bed	356	20	26	8	47	53
ETV6-ENCFF611XPF.bed	372	21	19	15	52	62
ETV6-ENCFF915TWO.bed	390	20	22	10	39	68
EZH2-ENCFF001SZC.bed	838	52	109	85	118	201
FLAG-ATF1-ENCFF089SHU.bed	369	9	22	15	38	62
FLAG-ATF1-ENCFF189NGD.bed	403	17	15	7	31	62
FLAG-ATF1-ENCFF624BVW.bed	386	8	18	15	45	67
FLAG-PBX2-ENCFF539OHR.bed	403	16	21	17	37	61
FLAG-PBX2-ENCFF597QZY.bed	384	16	19	16	34	59
FLAG-PBX2-ENCFF906WAQ.bed	396	20	18	12	39	64
FOS-ENCFF001VMH.bed	1	0	1	0	2	0
FOSL1-ENCFF001UJX.bed	9	0	1	0	1	0
FOSL1-ENCFF001UJY.bed	7	0	0	0	1	0
FOXA1-ENCFF113ZZY.bed	413	22	33	19	44	62
FOXA1-ENCFF837QWL.bed	411	19	27	16	40	65
FOXA1-ENCFF996FCB.bed	412	21	21	19	46	68
FOXK2-ENCFF037YFB.bed	374	19	25	20	49	67
FOXK2-ENCFF158PJI.bed	351	17	27	7	35	60
FOXK2-ENCFF188GHO.bed	414	16	25	22	48	79
FOXK2-ENCFF203SUN.bed	416	16	27	21	40	68
FOXK2-ENCFF451DBC.bed	399	22	24	16	42	65
FOXK2-ENCFF732HYH.bed	385	19	19	25	45	61
FOXM1-ENCFF804EPQ.bed	362	19	27	17	51	71
FOXM1-ENCFF805KEB.bed	342	24	24	17	47	64
FOXM1-ENCFF847FHY.bed	403	17	22	22	48	66
FUS-ENCFF192IFJ.bed	399	22	26	20	53	72
FUS-ENCFF530LEM.bed	407	22	29	17	50	73
FUS-ENCFF644TNS.bed	402	25	30	21	38	69
GABPA-ENCFF001UJZ.bed	16	1	3	0	5	4
GABPA-ENCFF001UKA.bed	20	2	4	0	5	5
GATA1-ENCFF001VNC.bed	2	0	1	0	2	0
GATA1-ENCFF001VND.bed	16	0	4	0	5	3
GATA1-ENCFF281ONW.bed	134	10	7	2	18	24
GATA1-ENCFF830VFD.bed	379	20	26	9	41	72
GATA1-ENCFF942MUF.bed	311	9	22	9	27	57
GATA2-ENCFF001UKB.bed	41	1	3	0	3	3
GATA2-ENCFF001UKC.bed	9	1	0	0	2	0
GATA2-ENCFF001VNE.bed	6	0	1	0	2	0
GATA2-ENCFF061TTI.bed	342	20	20	13	35	58
GATA2-ENCFF163ZFQ.bed	249	13	21	11	31	46
GATA2-ENCFF717ZNF.bed	360	20	24	13	43	72
GTF2B-ENCFF001VNF.bed	10	0	3	0	4	1
GTF2F1-ENCFF001VNG.bed	27	3	3	0	4	3
GTF3C2-ENCFF001VPD.bed	1	0	0	0	0	0
H2AFZ-ENCFF001SZD.bed	353	25	45	26	57	78
H2AFZ-ENCFF518XQA.bed	136	7	11	4	19	27
H2AFZ-ENCFF681OSA.bed	122	5	12	3	13	23
H2AFZ-ENCFF809JDN.bed	175	7	15	3	22	38
